nome,genero,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,salario_bruto,quant_viagem,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par
 FELIX DE ALMEIDA MENDONÇA JÚNIOR,M,86,0,6,30,16,8, 29/11/1963,"33.763,00",0,"1.093.456,69","111.574,69","111.574,69","111.574,69","111.574,69","111.574,69","99.983,33","107.556,02","108.772,32","109.170,84","110.100,73",0,0,"317.051,45","30.256,20","36.235,51","35.264,16","42.584,56","50.388,49","23.719,29","43.121,12","20.178,34","14.497,37","19.187,20",0,0
 FÁBIO RICARDO TRAD,M,90,1,1,88,3,0, 18/08/1969,"33.763,00",0,"1.112.229,14","111.501,88","111.501,88","111.501,88","111.324,76","111.501,88","111.501,88","111.501,88","111.501,88","110.217,75","110.173,47",0,0,"152.297,71","9.479,45","21.339,35","11.214,78","41.034,10","25.209,13","12.053,32","5.465,70","14.089,48","2.400,90","10.011,50",0,0
 FABIO DE ALMEIDA REIS,M,80,8,4,35,1,0, 15/04/1977,"33.763,00",0,"1.107.209,05","108.307,92","109.336,37","109.408,57","111.574,66","111.574,66","111.574,66","111.574,66","111.574,66","111.574,66","110.708,23",0,0,"311.152,08","39.865,80","33.581,68","32.144,11","43.493,01","38.648,54","34.772,71","32.086,43","21.185,40","13.796,32","20.587,04",0,0
 FELÍCIO LATERÇA DE ALMEIDA,M,84,1,7,103,6,6, 26/05/1967,"33.763,00",0,"1.070.004,37","103.822,74","108.245,62","111.562,78","109.721,17","92.281,25","106.166,20","108.227,55","109.988,01","108.902,30","111.086,75",0,0,"343.719,83","33.761,68","41.861,86","62.060,32","40.359,41","38.642,49","19.555,55","32.436,61","22.935,73","20.966,82","30.530,69",0,0
 CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,M,77,2,13,18,7,9, 01/02/1982,"33.763,00",0,"1.114.457,24","111.436,53","111.580,74","111.495,03","111.145,61","111.498,95","111.507,99","111.507,99","111.485,68","111.392,71","111.406,01",0,0,"411.553,49","37.157,27","49.871,28","47.518,82","51.520,30","44.584,40","32.245,60","35.040,79","36.239,48","25.857,60","51.517,95",0,0
 ALCIBIO MESQUITA BIBO NUNES,M,90,1,1,33,23,0, 09/01/1957,"33.763,00",0,"978.080,61","107.838,27","106.661,35","107.626,01","107.100,08","108.678,71","110.863,76","102.938,79","80.792,43","71.989,13","73.592,08",0,0,"439.324,04","36.377,50","114.136,35","111.815,04","46.216,96","43.243,88","31.393,94","31.363,41","20.069,13","4.504,01","203,82",0,0
 JOSÉ ROBERTO OLIVEIRA FARO,M,82,10,0,5,17,0, 20/06/1969,"33.763,00",0,"1.107.132,60","111.210,84","110.666,21","109.899,05","111.210,84","111.210,84","110.568,67","110.434,02","111.210,84","111.210,84","109.510,45",0,0,"343.680,40","50.640,64","51.528,80","51.595,33","38.245,47","56.264,93","15.343,49","16.815,59","14.152,72","12.879,36","8.054,07",0,0
 LUIZ BENES LEOCADIO DE ARAUJO,M,88,1,3,35,6,2, 22/04/1966,"33.763,00",0,"1.070.001,74","110.203,77","110.203,77","106.658,99","104.203,11","106.527,95","105.841,47","105.921,33","105.964,18","107.249,74","107.227,43",0,0,"344.846,46","32.697,33","37.181,80","51.640,86","47.232,83","43.851,34","39.594,20","33.482,93","21.709,18","17.997,68","19.068,31",0,0
 FELIPE AUGUSTO LYRA CARRERAS,M,77,11,4,70,41,1, 16/04/1975,"33.763,00",0,"1.110.530,22","108.137,52","111.659,58","111.659,58","111.659,58","111.659,58","111.571,02","109.331,88","111.617,16","111.617,16","111.617,16",0,0,"169.230,68","14.274,35","20.364,98","19.915,93","14.515,87","21.740,82","16.037,40","21.745,42","29.974,45","4.715,52","5.945,94",0,0
 HUMBERTO REZENDE PEREIRA,M,87,3,2,29,42,3, 14/11/1977,"33.763,00",0,"1.114.088,41","111.514,04","111.586,80","110.868,87","111.514,00","111.457,65","111.586,78","110.672,43","111.629,28","111.629,28","111.629,28",0,0,"317.620,57","31.302,38","37.733,45","46.071,17","46.424,41","43.050,57","37.786,28","29.839,31","16.128,37","5.877,55","23.407,08",0,0
 FÁBIO LUIZ SCHIOCHET FILHO,M,85,4,3,20,5,2, 31/05/1988,"33.763,00",0,"1.114.119,12","111.568,63","111.568,63","111.568,63","111.568,63","111.568,63","111.544,55","111.526,14","111.107,56","111.107,56","110.990,16",0,0,"366.563,96","37.195,31","40.305,37","42.043,11","46.815,31","43.700,43","50.167,04","38.185,13","25.939,12","21.593,26","17.300,62",0,0
 UBIRAJARA DO PINDARÉ ALMEIDA SOUSA,M,82,0,10,21,26,10, 01/11/1968,"33.763,00",0,"1.115.746,50","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65",0,0,"387.766,48","20.679,85","23.825,08","34.402,73","76.284,21","96.746,00","27.251,80","28.044,88","18.372,93","31.746,67","30.336,85",0,0
 OLAVO BILAC PINTO NETO,M,80,7,5,54,7,3, 08/06/1963,"33.763,00",0,"1.114.014,41","111.532,26","111.532,26","111.532,26","111.532,26","111.532,26","110.224,07","111.532,26","111.532,26","111.532,26","111.532,26",0,0,"366.957,28","38.107,55","39.391,23","36.766,95","36.370,18","36.320,33","35.989,93","35.978,06","36.058,35","36.004,29","35.970,41",0,0
 ELVINO JOSÉ BOHN GASS,M,90,0,2,24,15,0, 05/02/1962,"33.763,00",0,"1.113.456,25","111.641,36","111.557,99","111.508,13","111.641,38","111.641,38","110.811,40","111.604,98","111.604,98","111.604,98","109.839,67",0,0,"356.144,70","30.693,35","43.618,49","51.772,61","63.215,02","45.029,72","40.093,42","35.113,72","22.679,14","12.788,68","11.078,65",0,0
 NICOLINO BOZZELLA JUNIOR,M,83,1,8,42,9,5, 17/08/1980,"33.763,00",0,"1.108.661,55","111.623,09","111.642,57","107.512,59","110.707,93","111.134,28","111.357,59","110.509,90","111.392,57","111.392,57","111.388,46",0,0,"323.600,79","29.348,65","39.636,09","43.735,10","36.718,08","40.304,87","30.143,90","40.029,84","26.482,22","25.062,37","11.174,19",0,0
 JOSE AUGUSTO ROSA,M,85,4,3,29,39,2, 04/10/1966,"33.763,00",0,"1.109.989,13","111.659,59","110.586,80","107.796,83","111.659,59","111.659,59","111.659,59","110.759,70","110.888,26","111.659,59","111.659,59",0,0,"297.009,79","32.590,99","30.742,36","42.982,94","38.181,18","46.093,18","19.473,47","21.678,43","15.614,72","14.321,17","34.465,04",0,0
 CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,M,71,16,5,12,14,3, 03/11/1979,"33.763,00",0,"1.084.232,34","107.850,28","108.483,94","109.030,38","109.215,09","109.215,09","107.121,98","105.670,31","109.215,09","109.215,09","109.215,09",0,0,"366.087,19","30.097,59","41.252,22","49.713,11","49.721,69","45.749,21","41.212,41","38.074,00","37.034,37","15.502,42","17.509,15",0,0
 CARLOS CAMILO GÓES CAPIBERIBE,M,89,0,3,67,20,5, 23/05/1972,"33.763,00",0,"1.098.429,16","111.508,06","111.508,06","111.508,06","111.508,06","110.034,25","109.670,30","105.908,91","110.137,58","107.941,38","108.704,50",0,0,"337.744,18","57.270,81","54.545,96","40.139,58","50.674,76","29.912,43","32.899,67","36.174,05","9.998,80","8.076,55","18.051,57",0,0
 ALBERTO BARROS CAVALCANTE NETO,M,88,2,2,66,3,1, 05/05/1982,"33.763,00",0,"1.108.460,75","111.524,06","108.183,95","109.814,87","109.505,49","111.520,15","111.370,71","111.635,38","111.635,38","111.635,38","111.635,38",0,0,"240.537,12","10.761,97","32.144,12","50.784,42","59.974,73","36.167,69","18.635,29","18.846,91","9.376,93","3.645,06","200,00",0,0
 FABIO ABREU COSTA,M,90,1,1,56,9,0, 31/12/1972,"33.763,00",0,"1.112.307,70","111.501,54","111.425,25","109.950,47","110.995,45","111.125,87","111.505,00","111.580,82","111.580,83","111.580,83","111.061,64",0,0,"411.441,61","27.176,43","43.044,36","37.886,06","54.828,28","65.451,97","38.676,13","33.219,21","38.283,53","44.917,64","27.807,28",0,0
 JOÃO BOSCO DA COSTA,M,88,2,2,37,9,0, 28/09/1950,"33.763,00",0,"1.096.871,16","109.107,22","111.544,51","111.544,51","111.544,51","111.544,51","111.544,51","111.544,51","106.200,33","104.641,61","107.654,94",0,0,"377.536,38","31.663,79","50.001,03","50.347,54","42.678,14","42.852,09","50.270,89","42.871,55","39.751,16","27.086,09","14,10",0,0
 WAGNER SOUSA GOMES,M,31,2,0,0,1,0, 21/01/1979,"33.763,00",0,"1.112.741,02","110.473,50","110.107,68","111.586,87","111.652,64","111.665,79","110.952,40","111.665,74","111.665,74","111.665,74","111.304,92",0,0,"117.995,94","55.521,07","32.236,66","11.029,18","-R$23.938,40","12.950,64","18.376,97","6.416,85","4.739,03","663,94",0,0,0
 CARLOS GOMES BEZERRA,M,29,0,0,0,0,0, 04/11/1941,"33.763,00",0,"1.115.384,57","111.611,13","111.611,13","111.611,13","111.611,13","111.611,13","111.611,13","110.884,40","111.611,13","111.611,13","111.611,13",0,0,"190.129,10","17.099,28","53.701,17","2.047,03","848,36","647,00","58.238,75","57.547,51",0,0,0,0,0
 CARLOS ALBERTO CHIODINI,M,85,3,4,25,8,6, 08/03/1982,"33.763,00",2,"1.088.228,66","110.052,14","109.597,20","107.219,44","108.994,73","109.943,02","110.230,95","107.098,15","107.098,15","107.098,15","110.896,73",0,0,"257.915,07","21.142,87","33.080,35","34.458,92","35.659,60","28.696,29","31.410,11","38.827,88","16.920,33","11.149,03","6.369,69",0,0
 Carlos Roberto Coelho de Mattos Júnior,M,84,5,3,10,0,0, 08/02/1982,"33.763,00",0,"1.079.427,92","107.840,49","111.522,26","105.827,62","98.809,78","110.447,03","111.102,14","104.135,41","108.845,03","110.375,04","110.523,12",0,0,"193.058,73","17.012,14","20.943,23","27.544,00","16.413,28","29.052,38","31.940,35","20.649,20","10.845,10","8.605,79","8.978,05",0,0
 GUILHERME MURARO DERRITE,M,90,2,0,21,0,0, 10/10/1984,"33.763,00",0,"1.087.142,69","111.429,18","111.429,18","111.078,93","111.198,68","111.198,68","111.198,68","104.902,34","104.902,34","104.902,34","104.902,34",0,0,"311.577,86","33.369,05","45.785,15","42.375,69","37.535,61","31.336,58","34.084,37","31.084,94","27.610,70","13.235,82","15.159,95",0,0
 ALIEL MACHADO BARK,M,87,1,4,24,18,4, 26/02/1989,"33.763,00",1,"1.081.191,02","104.192,43","107.598,59","109.833,85","109.833,85","109.833,85","109.833,85","109.833,85","107.741,73","105.688,07","106.800,95",0,0,"342.766,01","22.858,25","39.946,86","59.163,45","38.533,06","76.089,49","24.295,38","28.273,90","23.005,48","12.282,83","17.143,63",0,0
 CARLOS HENRIQUE FOCESI SAMPAIO,M,87,4,1,14,5,0, 31/03/1963,"33.763,00",0,"1.059.385,24","103.852,96","107.767,17","108.820,89","108.820,89","108.689,99","104.762,85","103.243,66","104.762,85","104.762,85","103.901,13",0,0,"314.513,00","25.615,74","54.934,33","51.456,20","45.438,40","42.806,53","22.600,90","21.181,85","14.951,58","15.364,01","20.163,46",0,0
